iter	RMSE
143	3957.515389
144	3951.495566
145	3948.871983
146	3948.045246
147	3945.127929
148	3942.915915
149	3940.089498
150	3938.490817
151	3934.919336
152	3931.67287
153	3928.321058
154	3923.792196
155	3920.592545
156	3918.097796
157	3916.136557
158	3914.362171
159	3910.872567
160	3909.42476
161	3908.054261
162	3905.952106
163	3901.500498
164	3900.733543
165	3899.306883
166	3897.668528
167	3896.291576
168	3892.340723
169	3889.050601
170	3883.098602
171	3880.993385
172	3878.982617
173	3877.46336
174	3876.045888
175	3872.659927
176	3868.739847
177	3865.413924
178	3862.907887
179	3861.437807
180	3859.483495
181	3855.391091
182	3851.387233
183	3850.526163
184	3848.230784
185	3845.622537
186	3843.465833
187	3842.221292
188	3840.429508
189	3835.05583
190	3830.148517
191	3826.298061
192	3821.935603
193	3820.568665
194	3818.59149
195	3816.679751
196	3813.4308
197	3811.154729
198	3808.954273
199	3804.262433
200	3801.789816
201	3800.72201
202	3799.367656
203	3798.99888
204	3798.07522
205	3795.850121
206	3791.266156
207	3787.938705
208	3784.372912
209	3780.945168
210	3779.555258
211	3777.494883
212	3775.952597
213	3772.825704
214	3770.346078
215	3766.955662
216	3763.629756
217	3762.293803
218	3758.980521
219	3757.536831
220	3755.737801
221	3753.081859
222	3752.102793
223	3751.167971
224	3749.872102
225	3747.893697
226	3746.424251
227	3744.174151
228	3742.727611
229	3741.985998
230	3741.758944
231	3739.643581
232	3736.323682
233	3734.46179
234	3734.248101
235	3732.462143
236	3731.393442
237	3731.184284
238	3729.084167
239	3724.001923
240	3722.728472
241	3718.758673
242	3717.259243
243	3715.073185
244	3714.233749
245	3712.332777
246	3711.972632
247	3710.984884
248	3708.49097
249	3706.47091
250	3705.51687
251	3704.800379
252	3702.591449
253	3701.564717
254	3700.279975
255	3698.03557
256	3697.294164
257	3696.196061
258	3694.91952
259	3694.038245
260	3693.182833
261	3692.363564
262	3690.702955
263	3687.913991
264	3687.186092
265	3686.215903
266	3684.860122
267	3683.586757
268	3680.657478
269	3679.767166
270	3675.191426
271	3673.750323
272	3672.963392
273	3671.536398
274	3671.224083
275	3668.254806
276	3667.447729
277	3666.937434
278	3665.441117
279	3663.48662
280	3661.410473
281	3659.21652
282	3657.250039
283	3654.58761
284	3652.871591
285	3651.832094
286	3649.048492
287	3648.682371
288	3645.717254
289	3644.471506
290	3643.667014
291	3641.105166
292	3638.251137
293	3637.271358
294	3636.620562
295	3634.302447
296	3630.673667
297	3629.888937
298	3629.194776
299	3628.169127
300	3624.918264
301	3620.526539
302	3619.050343
303	3617.781507
304	3615.797101
305	3614.742732
306	3612.943716
307	3610.985136
308	3609.121672
309	3606.392577
310	3604.234637
311	3600.506127
312	3598.023804
313	3596.83222
314	3594.440295
315	3590.3182
316	3589.758371
317	3587.853958
318	3585.950973
319	3583.268982
320	3581.062882
321	3577.640098
322	3575.909778
323	3573.815658
324	3571.975566
325	3570.337269
326	3568.290436
327	3567.679772
328	3565.876741
329	3562.023563
330	3560.580146
331	3558.510281
332	3556.621393
333	3555.077068
334	3554.42702
335	3552.112546
336	3550.191565
337	3546.627079
338	3544.971096
339	3544.112809
340	3540.764753
341	3538.51891
342	3536.376006
343	3534.467337
344	3533.101679
345	3532.550475
346	3528.046124
347	3526.015314
348	3522.793675
349	3517.822969
350	3514.55562
351	3513.864021
352	3513.077164
353	3510.334058
354	3509.107831
355	3507.400273
356	3506.083758
357	3504.720386
358	3504.527516
359	3500.788611
360	3497.335348
361	3495.585401
362	3493.516563
363	3491.434377
364	3490.779225
365	3489.937749
366	3488.904137
367	3486.128273
368	3484.959814
369	3481.34573
370	3478.412761
371	3476.775421
372	3472.938697
373	3471.401604
374	3468.586147
375	3466.633402
376	3463.317864
377	3461.673066
378	3459.937894
379	3458.855713
380	3457.143106
381	3455.899633
382	3454.916411
383	3452.916227
384	3450.81543
385	3450.212945
386	3448.772439
387	3445.758393
388	3443.565467
389	3442.902535
390	3438.672944
391	3436.783769
392	3435.669278
393	3432.527502
394	3429.898707
395	3428.029147
396	3424.377457
397	3422.948114
398	3420.939202
399	3419.582097
400	3417.616995
401	3414.617572
402	3413.725843
403	3412.800511
404	3410.350558
405	3409.222575
406	3408.588124
407	3408.154392
408	3405.285656
409	3404.121157
410	3402.875439
411	3402.208379
412	3401.48853
413	3399.559954
414	3399.037017
415	3398.171274
416	3396.424527
417	3393.131333
418	3390.317866
419	3389.350224
420	3387.975136
421	3387.049399
422	3383.849686
423	3380.5851
424	3378.494246
425	3377.942457
426	3375.201424
427	3372.077609
428	3370.873233
429	3368.366489
430	3365.403299
431	3363.081121
432	3361.44503
433	3360.334947
434	3358.864985
435	3356.8451
436	3355.298162
437	3352.087931
438	3351.401805
439	3347.934107
440	3345.92852
441	3343.192551
442	3342.607334
443	3339.536647
444	3338.297672
445	3334.601481
446	3333.692728
447	3332.828618
448	3330.987278
449	3330.184026
450	3327.243985
451	3324.675895
452	3321.076882
453	3320.243479
454	3319.777956
455	3317.770881
456	3317.1923
457	3315.366666
458	3314.171727
459	3312.412756
460	3311.838117
461	3310.383534
462	3309.26567
463	3307.535424
464	3306.177239
465	3303.358558
466	3302.625348
467	3299.917828
468	3298.806066
469	3295.979908
470	3295.320002
471	3292.112824
472	3290.816992
473	3287.943874
474	3285.030388
475	3284.45807
476	3282.418858
477	3281.866066
478	3281.600191
479	3279.155923
480	3278.629442
481	3277.616032
482	3276.837194
483	3274.155384
484	3272.852345
485	3271.871543
486	3268.79608
487	3266.31916
488	3265.700567
489	3265.177485
490	3264.666001
491	3264.16599
492	3263.25673
493	3261.424203
494	3260.479601
495	3257.935801
496	3257.212897
497	3256.075366
498	3254.693687
499	3253.275528
500	3252.535165
501	3251.257109
502	3249.906504
503	3248.334363
504	3245.37083
505	3242.954047
506	3242.520667
507	3242.156173
508	3241.061521
509	3240.680033
510	3237.556705
511	3236.393309
512	3233.25994
513	3230.139643
514	3229.123618
515	3228.535418
516	3225.839686
517	3225.433064
518	3225.022762
519	3222.888257
520	3221.2064
521	3220.821704
522	3219.852781
523	3217.224371
524	3213.929722
525	3213.330099
526	3210.362993
527	3210.00071
528	3208.907678
529	3208.472031
530	3206.671296
531	3206.29536
532	3205.816865
533	3204.657989
534	3204.160413
535	3202.586644
536	3201.666089
537	3199.908709
538	3198.898745
539	3198.325811
540	3197.826098
541	3195.300141
542	3194.000965
543	3191.485686
544	3188.511039
545	3187.393065
546	3186.497512
547	3183.844437
548	3181.366108
549	3180.996185
550	3180.837293
551	3178.442713
552	3177.163431
553	3174.614758
554	3174.064875
555	3172.22044
556	3169.658897
557	3166.91999
558	3164.20079
559	3162.976175
560	3162.013668
561	3160.453014
562	3158.988585
563	3155.451696
564	3155.202438
565	3154.638082
566	3152.709978
567	3150.309016
568	3147.887537
569	3145.763816
570	3143.960916
571	3141.63912
572	3139.311559
573	3136.246291
574	3131.308596
575	3129.159059
576	3127.345632
577	3126.917816
578	3126.418585
579	3124.588184
580	3123.174048
581	3121.811777
582	3120.631325
583	3118.155182
584	3117.494983
585	3116.929082
586	3114.7408
587	3112.917855
588	3110.710834
589	3107.481487
590	3105.174927
591	3104.492775
592	3103.380673
593	3102.677817
594	3100.734307
595	3098.498411
596	3096.365221
597	3095.373578
598	3093.185934
599	3090.928665
600	3090.126608
601	3089.441899
602	3089.056588
603	3088.022911
604	3086.956794
605	3086.260546
606	3083.632868
607	3082.751664
608	3081.054163
609	3077.482748
610	3075.183703
611	3072.969691
612	3072.283799
613	3070.732128
614	3068.459889
615	3067.101754
616	3066.575089
617	3066.070201
618	3065.46126
619	3063.523597
620	3061.947936
621	3061.353372
622	3060.130263
623	3059.610708
624	3057.650573
625	3056.710296
626	3055.931772
627	3054.91992
628	3053.716775
629	3052.924918
630	3050.168675
631	3049.771889
632	3045.616429
633	3044.925968
634	3044.655196
635	3044.176
636	3043.481064
637	3042.965054
638	3042.509195
639	3041.467313
640	3039.308253
641	3037.331835
642	3034.555432
643	3033.046737
644	3031.691072
645	3031.104919
646	3030.543174
647	3029.42427
648	3027.874139
649	3027.064106
650	3025.39465
651	3024.67976
652	3023.891393
653	3021.834424
654	3021.505207
655	3020.43657
656	3019.636337
657	3017.466092
658	3015.436244
659	3015.043265
660	3013.101385
661	3010.966431
662	3008.756307
663	3007.730008
664	3006.431415
665	3003.54585
666	3002.02939
667	3000.416425
668	3000.143744
669	2999.760784
670	2999.044396
671	2997.387442
672	2995.891019
673	2995.516543
674	2994.672876
675	2992.974004
676	2991.000075
677	2989.916844
678	2989.506259
679	2987.159908
680	2984.924683
681	2984.552532
682	2983.117847
683	2982.059983
684	2980.168563
685	2979.780068
686	2977.217435
687	2976.710786
688	2976.333284
689	2975.475831
690	2973.94972
691	2972.347051
692	2972.004889
693	2970.968355
694	2968.832663
695	2967.02588
696	2964.719364
697	2963.269619
698	2961.872389
699	2959.89128
700	2958.635094
701	2956.131821
702	2954.099787
703	2951.889918
704	2949.205091
705	2946.646753
706	2946.278895
707	2945.788794
708	2945.456951
709	2944.072894
710	2942.523708
711	2942.378303
712	2941.230746
713	2939.398718
714	2937.155673
715	2935.230745
716	2934.874126
717	2933.175234
718	2930.642997
719	2929.506299
720	2928.071619
721	2927.831254
722	2925.962327
723	2923.769097
724	2923.373844
725	2922.714207
726	2920.917202
727	2918.339474
728	2916.748645
729	2916.575385
730	2914.216953
731	2912.463201
732	2910.762059
733	2910.412231
734	2909.591024
735	2908.462072
736	2908.076013
737	2906.106594
738	2904.073638
739	2903.734495
740	2903.438918
741	2903.27652
742	2902.759595
743	2902.50559
744	2900.120982
745	2898.590251
746	2896.902847
747	2895.598504
748	2894.501199
749	2893.763639
750	2893.225865
751	2892.220103
752	2890.875794
753	2889.62477
754	2888.29121
755	2886.917118
756	2886.176485
757	2883.99414
758	2882.663759
759	2880.725484
760	2879.868399
761	2877.280267
762	2876.323668
763	2874.446508
764	2873.168398
765	2871.388229
766	2870.825693
767	2869.033436
768	2867.572257
769	2865.71561
770	2864.746277
771	2863.491159
772	2861.695388
773	2859.820217
774	2858.711006
775	2856.325938
776	2854.593941
777	2852.303707
778	2850.652994
779	2848.648655
780	2846.875457
781	2846.48504
782	2844.985637
783	2844.263817
784	2843.72934
785	2843.023353
786	2842.06949
787	2840.429147
788	2838.973115
789	2837.762447
790	2836.125369
791	2835.098656
792	2834.83382
793	2833.147985
794	2831.556295
795	2830.45555
796	2828.844184
797	2827.287474
798	2825.670308
799	2823.43245
800	2821.934313
801	2820.217645
802	2818.922067
803	2817.814028
804	2816.45508
805	2815.019713
806	2813.330204
807	2812.957376
808	2811.284701
809	2810.359383
810	2810.015805
811	2809.066134
812	2808.357265
813	2806.990502
814	2806.193294
815	2805.626636
816	2804.165998
817	2803.0077
818	2802.270863
819	2801.005196
820	2800.71939
821	2799.148836
822	2798.120501
823	2797.123236
824	2795.07655
825	2793.845237
826	2791.838659
827	2790.35945
828	2789.080766
829	2787.312597
830	2786.906815
831	2785.159353
832	2784.829304
833	2783.773599
834	2782.744998
835	2782.466457
836	2780.862884
837	2779.564064
838	2779.120235
839	2777.965066
840	2777.498897
841	2776.714228
842	2776.059939
843	2775.208548
844	2774.503519
845	2772.124064
846	2771.39077
847	2770.950811
848	2770.440663
849	2769.450171
850	2767.852109
851	2765.81372
852	2764.881902
853	2764.543707
854	2763.626935
855	2761.829189
856	2760.872406
857	2759.12938
858	2757.732064
859	2757.384817
860	2755.16186
861	2753.871468
862	2752.914642
863	2751.979785
864	2751.095588
865	2750.215627
866	2748.999627
867	2748.011615
868	2746.606708
869	2745.171264
870	2744.037218
871	2742.705289
872	2742.502268
873	2741.419886
874	2740.5681
875	2740.107833
876	2739.407416
877	2738.165999
878	2737.279473
879	2735.053618
880	2733.447311
881	2732.663041
882	2732.340535
883	2732.064113
884	2731.269961
885	2729.834504
886	2729.485448
887	2729.099208
888	2728.060863
889	2726.223332
890	2725.169135
891	2724.582315
892	2723.519581
893	2722.339602
894	2721.521819
895	2720.7816
896	2719.569358
897	2718.893161
898	2716.726585
899	2715.92006
900	2713.806931
901	2712.858504
902	2712.165694
903	2711.168202
904	2709.495218
905	2708.969042
906	2706.81113
907	2704.967601
908	2704.685405
909	2703.369294
910	2702.513958
911	2701.580317
912	2700.012709
913	2698.731624
914	2697.362187
915	2696.384342
916	2695.581638
917	2694.244237
918	2692.060329
919	2691.764804
920	2690.463603
921	2689.836
922	2688.513032
923	2688.251999
924	2687.917394
925	2686.974409
926	2686.348637
927	2684.569201
928	2684.108476
929	2683.514996
930	2682.756026
931	2681.183427
932	2680.232934
933	2677.141245
934	2676.19479
935	2675.922012
936	2674.720111
937	2673.594345
938	2671.980732
939	2671.000092
940	2667.899809
941	2666.720841
942	2665.651792
943	2665.012315
944	2663.995933
945	2662.478639
946	2661.25685
947	2660.903727
948	2659.585821
949	2658.980358
950	2658.145912
951	2656.758066
952	2655.068945
953	2654.33776
954	2653.443401
955	2652.986496
956	2651.180501
957	2650.760241
958	2649.039336
959	2647.4976
960	2646.954766
961	2644.921878
962	2643.182786
963	2642.405952
964	2641.784623
965	2640.662465
966	2639.711558
967	2636.554374
968	2635.154659
969	2633.367896
970	2631.94978
971	2631.64484
972	2628.893919
973	2626.460346
974	2626.218273
975	2624.813156
976	2623.15933
977	2622.233756
978	2619.44208
979	2618.687234
980	2617.916352
981	2616.588511
982	2615.860279
983	2614.277663
984	2611.399576
985	2610.527341
986	2610.01384
987	2608.906701
988	2608.168334
989	2607.530783
990	2606.331575
991	2604.029984
992	2603.560589
993	2602.137799
994	2601.409432
995	2601.115181
996	2600.586312
997	2599.319491
998	2599.105062
999	2598.34254
